Max. grid power,1650.70,W
Max. grid power above peak,1650.70,W
Average power above peak,197.06,W
Max. energy event above peak,116.65,kWh
Average energy event above peak,3.99,kWh
Self-consumption rate,83.89,%
Self-sufficiency,27.41,%
Number of energy events above peak,352.00,
Energy bought on intraday market,0.00,kWh
Energy sold on intraday market,0.00,kWh
