,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
0,Without Storage,2180.1295108333334,631.9959149069084,0,0.0,0.0,698.3662304723787,0.1991688716173622,0.6870518058907787
1,Greedy,2180.1295108333334,631.9959149069084,1,0.4,0.1,653.6370168738704,0.2504607941571051,0.9463215243664568
2,Greedy,2180.1295108333334,631.9959149069084,1,0.4,0.2,653.4357713104517,0.25069156664380665,0.9474922176849889
3,Greedy,2180.1295108333334,631.9959149069084,1,0.4,0.3,653.4032580033214,0.2507288503315058,0.9476813553274505
4,Greedy,2180.1295108333334,631.9959149069084,1,0.4,0.4,653.4032580033214,0.2507288503315058,0.9476813553274505
5,Greedy,2180.1295108333334,631.9959149069084,1,0.4,0.5,653.4032580033215,0.2507288503315057,0.9476813553274505
6,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.1,653.5676828133963,0.25054030097095425,0.9467248570907407
7,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.2,653.3567460641334,0.2507821865426769,0.9479519263428539
8,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.3,653.3240898767631,0.25081963407412866,0.9481418951536625
9,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.4,653.3240898767631,0.25081963407412866,0.9481418951536625
10,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.5,653.3240898767631,0.25081963407412866,0.9481418951536625
11,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.1,653.5654111881958,0.25054290589097084,0.9467380716749502
12,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
13,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
14,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
15,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
16,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.1,653.5654111881958,0.25054290589097084,0.9467380716749502
17,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
18,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
19,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
20,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
21,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.1,653.5654111881958,0.25054290589097084,0.9467380716749502
22,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
23,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
24,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
25,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
