,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
0,Without Storage,2180.1295108333334,631.9959149069084,0.0,0.0,0.0,698.3662304723787,0.1991688716173622,0.6870518058907787
1,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.1,673.3767430797848,0.22782483823358624,0.8319562199966501
2,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.2,673.3119543879737,0.22789913277834728,0.8323331112300831
3,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.3,673.2998997920479,0.22791295603502304,0.83240323568236
4,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.4,673.2998997920479,0.22791295603502304,0.8324032356823599
5,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.5,673.2998997920479,0.22791295603502304,0.83240323568236
6,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.6,673.2998997920479,0.22791295603502304,0.83240323568236
7,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.7,673.2998997920479,0.22791295603502304,0.83240323568236
8,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.8,673.2998997920479,0.22791295603502304,0.83240323568236
9,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,0.9,673.2998997920479,0.22791295603502304,0.83240323568236
10,Greedy,2180.1295108333334,631.9959149069084,0.5,0.1,1.0,673.2998997920479,0.22791295603502304,0.8324032356823599
11,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.1,667.5673177712436,0.23448662745261362,0.8657510290731417
12,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.2,667.0346476537779,0.23509745139084604,0.8688496978681484
13,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.3,666.8810145388375,0.23527362568941068,0.8697434182469281
14,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.4,666.8283451675809,0.2353340227564139,0.8700498085095206
15,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.5,666.8083451675808,0.23535695717372795,0.8701661532675015
16,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.6,666.7883451675809,0.2353798915910419,0.8702824980254823
17,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.7,666.768345167581,0.23540282600835583,0.870398842783463
18,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.8,666.7490004531633,0.2354250089960197,0.8705113755893199
19,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,0.9,666.7390004531632,0.23543647620467667,0.8705695479683102
20,Greedy,2180.1295108333334,631.9959149069084,0.5,0.2,1.0,666.7304779634477,0.23544624912146117,0.870619125318478
21,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.1,666.7773573807953,0.23539249151541686,0.8703464165951987
22,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.2,666.1221379397998,0.2361438453200183,0.8741579839595449
23,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.3,665.9372064208778,0.2363559101514917,0.8752337746001455
24,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.4,665.8601980958169,0.23644421720467157,0.875681750347231
25,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.5,665.810198095817,0.23650155324795652,0.8759726122421829
26,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.6,665.7797797305121,0.23653643462215201,0.8761495631096609
27,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.7,665.7597797305122,0.23655936903946606,0.8762659078676417
28,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.8,665.7397797305123,0.23658230345677989,0.8763822526256224
29,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,0.9,665.7197797305121,0.23660523787409404,0.8764985973836033
30,Greedy,2180.1295108333334,631.9959149069084,0.5,0.3,1.0,665.7041540285634,0.2366231561925599,0.876589495809179
31,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.1,666.7231080250981,0.23545470038354566,0.8706619980031589
32,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
33,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.3,665.8583444116283,0.23644634286300914,0.8756925336691458
34,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.4,665.7813360865675,0.2365346499161889,0.8761405094162311
35,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
36,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
37,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.7,665.673796009442,0.23665796836652775,0.8767660956285516
38,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.8,665.653796009442,0.23668090278384168,0.8768824403865324
39,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,0.9,665.633796009442,0.23670383720115562,0.8769987851445132
40,Greedy,2180.1295108333334,631.9959149069084,0.5,0.4,1.0,665.613796009442,0.23672677161846967,0.877115129902494
41,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.1,666.723108025098,0.23545470038354566,0.8706619980031589
42,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
43,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.3,665.8583444116283,0.23644634286300914,0.8756925336691458
44,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.4,665.7813360865675,0.236534649916189,0.8761405094162311
45,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
46,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
47,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.7,665.673796009442,0.23665796836652775,0.8767660956285516
48,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.8,665.653796009442,0.23668090278384168,0.8768824403865324
49,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,0.9,665.633796009442,0.23670383720115573,0.8769987851445132
50,Greedy,2180.1295108333334,631.9959149069084,0.5,0.5,1.0,665.613796009442,0.23672677161846956,0.877115129902494
51,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.1,666.723108025098,0.23545470038354566,0.8706619980031589
52,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
53,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.3,665.8583444116284,0.23644634286300892,0.8756925336691458
54,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.4,665.7813360865675,0.2365346499161889,0.8761405094162311
55,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
56,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
57,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.7,665.673796009442,0.23665796836652775,0.8767660956285516
58,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.8,665.653796009442,0.2366809027838418,0.8768824403865324
59,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.9,665.633796009442,0.23670383720115562,0.8769987851445132
60,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,1.0,665.613796009442,0.23672677161846956,0.877115129902494
61,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.1,666.723108025098,0.23545470038354566,0.8706619980031589
62,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.2,666.0436877487882,0.23623380579096942,0.8746143473838849
63,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.3,665.8583444116284,0.23644634286300892,0.8756925336691458
64,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.4,665.7813360865675,0.2365346499161889,0.8761405094162311
65,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.5,665.7313360865676,0.23659198595947384,0.8764313713111832
66,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.6,665.6937960094419,0.2366350339492137,0.8766497508705707
67,Greedy,2180.1295108333334,631.9959149069084,0.5,0.7,0.7,665.673796009442,0.23665796836652775,0.8767660956285516
