,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
0,Without Storage,2180.1295108333334,631.9959149069084,0.0,0.0,0.0,698.3662304723787,0.1991688716173622,0.6870518058907787
1,Greedy,2180.1295108333334,631.9959149069084,0.25,0.6,0.3,676.1804116261209,0.22460981301099703,0.8158793025885179
2,Greedy,2180.1295108333334,631.9959149069084,0.5,0.6,0.3,665.8583444116284,0.23644634286300892,0.8756925336691458
3,Greedy,2180.1295108333334,631.9959149069084,0.75,0.6,0.3,658.5126199943521,0.24486983832597864,0.9181916706292713
4,Greedy,2180.1295108333334,631.9959149069084,1.0,0.6,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
5,Greedy,2180.1295108333334,631.9959149069084,1.25,0.6,0.3,649.7693846254792,0.2548958887571877,0.968587771745388
6,Greedy,2180.1295108333334,631.9959149069084,1.5,0.6,0.3,647.4408042759874,0.25756612043140814,0.9819009880894517
7,Greedy,2180.1295108333334,631.9959149069084,1.75,0.6,0.3,646.1183241328398,0.25908263600602877,0.9893614801829362
8,Greedy,2180.1295108333334,631.9959149069084,2.0,0.6,0.3,645.3375345032908,0.2599779837659544,0.9936708296911643
9,Greedy,2180.1295108333334,631.9959149069084,2.25,0.6,0.3,644.8175345032909,0.26057427861611815,0.9964631038827038
10,Greedy,2180.1295108333334,631.9959149069084,2.5,0.6,0.3,644.4494305589359,0.2609963910898563,0.9983717625826305
11,Greedy,2180.1295108333334,631.9959149069084,2.75,0.6,0.3,644.2079182607013,0.26127333828156496,0.9995440075610431
12,Greedy,2180.1295108333334,631.9959149069084,3.0,0.6,0.3,644.0895318431487,0.26140909445678795,0.9999999999999999
13,Greedy,2180.1295108333334,631.9959149069084,3.5,0.6,0.3,644.0095318431487,0.2615008321260439,0.9999999999999999
14,Greedy,2180.1295108333334,631.9959149069084,4.0,0.6,0.3,643.9295318431488,0.26159256979529977,0.9999999999999999
