,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
0,Without Storage,2180.1295108333334,631.9959149069084,0,0.0,0.0,698.3662304723787,0.1991688716173622,0.6870518058907787
1,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.2,653.3567460641334,0.2507821865426769,0.9479519263428539
2,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.3,653.3240898767631,0.25081963407412866,0.9481418951536625
3,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.4,653.3240898767631,0.25081963407412866,0.9481418951536625
4,Greedy,2180.1295108333334,631.9959149069084,1,0.5,0.5,653.3240898767631,0.25081963407412866,0.9481418951536625
5,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
6,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
7,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
8,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
9,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
10,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
11,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
12,Greedy,2180.1295108333334,631.9959149069084,1,0.7,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
13,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.2,653.3544744389327,0.2507847914626936,0.9479651409270633
14,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.3,653.3218182515624,0.25082223899414535,0.948155109737872
15,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.4,653.3218182515624,0.25082223899414535,0.948155109737872
16,Greedy,2180.1295108333334,631.9959149069084,1,0.8,0.5,653.3218182515624,0.25082223899414535,0.948155109737872
