Electricity cost each year without storage system,[616.87],EUR
Electricity cost each year with storage system,[576.42],EUR
Op. and Maint. Cost each year,[-0.0],EUR
Investment Costs,600.00,EUR
Cashflow each year,[40.45],EUR
NPV,-560.35,EUR
IRR,-93.26,%
Profitability Index,0.07,
ROI,-0.93,
Levelized Cost of Storage,6052.26,EUR / MWh
