Max. grid power,1650.46,W
Max. grid power above peak,1650.46,W
Average power above peak,196.65,W
Max. energy event above peak,116.75,kWh
Average energy event above peak,4.65,kWh
Self-consumption rate,86.25,%
Self-sufficiency,27.93,%
Number of energy events above peak,300.00,
Energy bought on intraday market,0.00,kWh
Energy sold on intraday market,0.00,kWh
