Electricity cost each year without storage system,[617.82],EUR
Electricity cost each year with storage system,[568.91],EUR
Op. and Maint. Cost each year,[-0.0],EUR
Investment Costs,600.00,EUR
Cashflow each year,[48.92],EUR
NPV,-552.04,EUR
IRR,-91.85,%
Profitability Index,0.08,
ROI,-0.92,
Levelized Cost of Storage,5004.43,EUR / MWh
