Max. grid power,1650.70,W
Max. grid power above peak,1650.70,W
Average power above peak,193.37,W
Max. energy event above peak,116.66,kWh
Average energy event above peak,4.55,kWh
Self-consumption rate,89.30,%
Self-sufficiency,28.87,%
Number of energy events above peak,302.00,
Energy bought on intraday market,0.00,kWh
Energy sold on intraday market,0.00,kWh
