Efficiency round trip,99.77,%
SOC mean,7.63,%
SOC max,98.71,%
SOC min,0.00,%
Number of changes of signs per day,1.92,
Avg. length of resting times,1177.41,min
Pos. energy between changes of sign,27.53,%
Avg. Fulfillment Factor,26.76,%
Remaining capacity,80.18,%
Energy throughput,186.29,kWh
Equivalent full cycles,96.64,
Avg. depth of cycle for discharge,31.65,%
