Max. grid power,1650.46,W
Max. grid power above peak,1650.46,W
Average power above peak,196.72,W
Max. energy event above peak,116.74,kWh
Average energy event above peak,4.04,kWh
Self-consumption rate,83.61,%
Self-sufficiency,27.34,%
Number of energy events above peak,348.00,
Energy bought on intraday market,0.00,kWh
Energy sold on intraday market,0.00,kWh
