Max. grid power,1650.70,W
Max. grid power above peak,1650.70,W
Average power above peak,195.64,W
Max. energy event above peak,116.65,kWh
Average energy event above peak,4.44,kWh
Self-consumption rate,86.44,%
Self-sufficiency,28.21,%
Number of energy events above peak,313.00,
Energy bought on intraday market,0.00,kWh
Energy sold on intraday market,0.00,kWh
