Electricity cost each year without storage system,[576.12],EUR
Electricity cost each year with storage system,[535.48],EUR
Op. and Maint. Cost each year,[-0.0],EUR
Investment Costs,1000.00,EUR
Cashflow each year,[40.64],EUR
NPV,-960.15,EUR
IRR,-95.94,%
Profitability Index,0.04,
ROI,-0.96,
Levelized Cost of Storage,9361.18,EUR / MWh
